City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Dabat,ET,2021-08-05 01:24:44,12.9842,37.765,52.7,97,100,3.49
102,Faanui,PF,2021-08-05 01:24:45,-16.4833,-151.75,79.77,71,66,14.56
103,Ostrovnoy,RU,2021-08-05 01:24:45,68.0531,39.5131,49.28,90,100,22.46
104,Kidal,ML,2021-08-05 01:24:45,18.4411,1.4078,94.87,31,60,6.24
105,Chenzhou,CN,2021-08-05 01:24:46,25.8,113.0333,79.02,95,100,2.62
106,Castro,BR,2021-08-05 01:23:12,-24.7911,-50.0119,46.49,97,33,5.95
107,Capitan Bado,PY,2021-08-05 01:24:46,-23.2667,-55.5333,56.93,54,100,7.78
108,Hasaki,JP,2021-08-05 01:23:13,35.7333,140.8333,91.29,72,0,5.5
109,Muroto,JP,2021-08-05 01:24:46,33.2833,134.15,84.24,77,0,7.83
110,Kedrovyy,RU,2021-08-05 01:24:47,56.1667,91.8167,63.01,96,89,2.06
111,Vieste,IT,2021-08-05 01:24:47,41.8825,16.175,82.9,52,84,8.59
112,Husavik,IS,2021-08-05 01:23:19,66.0449,-17.3389,51.71,85,90,3.49
113,Yar-Sale,RU,2021-08-05 01:24:48,66.8333,70.8333,62.76,68,64,3.8
114,Posse,BR,2021-08-05 01:24:08,-14.0931,-46.3694,66.29,40,20,7.96
115,Susanino,RU,2021-08-05 01:24:48,58.1461,41.5872,49.51,72,29,2.93
116,Kuytun,RU,2021-08-05 01:24:48,54.3419,101.5036,70.36,58,3,3.06
117,Port Hardy,CA,2021-08-05 01:24:49,50.6996,-127.4199,77.18,61,40,2.3
118,Pevek,RU,2021-08-05 01:24:11,69.7008,170.3133,43.16,84,71,18.37
119,Oktyabrskiy,RU,2021-08-05 01:24:49,54.4815,53.471,64.54,92,100,4.83
120,Spruce Grove,CA,2021-08-05 01:24:49,53.5334,-113.9187,85.96,37,1,1.01
121,Bengkulu,ID,2021-08-05 01:24:50,-3.8004,102.2655,76.64,86,100,2.98
122,Padang,ID,2021-08-05 01:24:44,-0.9492,100.3543,78.85,79,100,2.75
123,Ahipara,NZ,2021-08-05 01:24:50,-35.1667,173.1667,60.1,74,100,10.83
124,Karratha,AU,2021-08-05 01:24:50,-20.7377,116.8463,70.77,23,56,29.15
125,Bambous Virieux,MU,2021-08-05 01:24:51,-20.3428,57.7575,68.25,64,40,12.66
126,Laguna,US,2021-08-05 01:24:51,38.421,-121.4238,101.44,33,1,5.01
127,Baykit,RU,2021-08-05 01:23:51,61.67,96.37,73.22,51,67,3.09
128,Nuuk,GL,2021-08-05 01:20:22,64.1835,-51.7216,48.81,87,20,10.36
129,Guerrero Negro,MX,2021-08-05 01:24:52,27.9769,-114.0611,75.54,69,6,16.93
130,Narsaq,GL,2021-08-05 01:24:52,60.9167,-46.05,44.82,85,100,4.99
131,Beloha,MG,2021-08-05 01:24:52,-25.1667,45.05,61.45,71,0,10.0
132,Farafangana,MG,2021-08-05 01:24:53,-22.8167,47.8333,65.59,76,67,7.09
133,Lebu,CL,2021-08-05 01:23:41,-37.6167,-73.65,52.72,85,100,17.34
134,Nacala,MZ,2021-08-05 01:24:53,-14.5428,40.6728,66.43,92,0,5.26
135,Lavrentiya,RU,2021-08-05 01:23:37,65.5833,-171.0,60.71,72,12,20.33
136,Corpus Christi,US,2021-08-05 01:24:53,27.8006,-97.3964,86.83,82,90,5.99
137,Takoradi,GH,2021-08-05 01:24:54,4.8845,-1.7554,75.38,90,45,7.96
138,Alyangula,AU,2021-08-05 01:24:54,-13.8483,136.4192,76.87,47,52,12.66
139,Faya,SA,2021-08-05 01:24:54,18.3851,42.4509,64.51,71,64,4.79
140,Flinders,AU,2021-08-05 01:21:15,-34.5833,150.8552,65.17,51,28,8.01
141,Santa Isabel,BR,2021-08-05 01:24:55,-23.3156,-46.2214,56.66,95,36,2.91
142,Sitka,US,2021-08-05 01:23:44,57.0531,-135.33,62.49,88,90,8.05
143,Bethel,US,2021-08-05 01:23:49,41.3712,-73.414,68.72,86,100,3.76
144,Hami,CN,2021-08-05 01:24:55,42.8,93.45,88.99,11,57,5.48
145,Chimoio,MZ,2021-08-05 01:24:56,-19.1164,33.4833,52.86,89,0,2.26
146,Kyabe,TD,2021-08-05 01:24:56,9.4515,18.9449,72.46,92,100,3.06
147,Cockburn Town,TC,2021-08-05 01:24:56,21.4612,-71.1419,82.54,79,10,19.66
148,Lompoc,US,2021-08-05 01:23:57,34.6391,-120.4579,87.42,77,20,13.8
149,San Borja,BO,2021-08-05 01:24:57,-14.8167,-66.85,70.48,49,95,3.83
150,San Patricio,US,2021-08-05 01:24:57,28.017,-97.5169,86.72,71,86,8.3
151,Tuatapere,NZ,2021-08-05 01:24:57,-46.1333,167.6833,48.81,58,100,1.39
152,Hithadhoo,MV,2021-08-05 01:24:58,-0.6,73.0833,81.32,76,100,8.05
153,Swan Hill,AU,2021-08-05 01:24:58,-35.3378,143.5544,54.1,73,67,11.63
154,Georgetown,MY,2021-08-05 01:20:51,5.4112,100.3354,83.89,86,20,1.01
155,San Pedro,PH,2021-08-05 01:23:51,14.35,121.0167,89.31,72,87,16.67
156,Saldanha,ZA,2021-08-05 01:23:09,-33.0117,17.9442,46.45,94,28,6.26
157,Zyryanka,RU,2021-08-05 01:24:59,65.75,150.85,39.88,95,100,14.99
158,Matay,EG,2021-08-05 01:24:59,28.419,30.7792,87.67,21,0,5.1
159,Saint George,US,2021-08-05 01:24:59,37.1041,-113.5841,108.07,10,1,4.0
160,Aklavik,CA,2021-08-05 01:23:10,68.2191,-135.0107,68.83,34,0,13.09
161,Road Town,VG,2021-08-05 01:21:09,18.4167,-64.6167,82.2,78,92,17.25
162,Zheleznodorozhnyy,RU,2021-08-05 01:20:45,55.7503,38.0042,58.14,69,21,1.74
163,Kieta,PG,2021-08-05 01:25:00,-6.2167,155.6333,82.53,81,86,7.83
164,Hamina,FI,2021-08-05 01:25:00,60.5697,27.1979,52.88,59,86,1.83
165,Nicoya,CR,2021-08-05 01:25:00,10.1483,-85.452,78.35,88,100,2.93
166,Vavozh,RU,2021-08-05 01:25:01,56.7751,51.931,57.36,97,7,6.87
167,Funtua,NG,2021-08-05 01:25:01,11.5233,7.3081,70.25,91,93,7.29
168,Hamilton,US,2021-08-05 01:25:01,39.1834,-84.5333,74.59,68,90,0.0
169,Tromso,NO,2021-08-05 01:25:02,69.6496,18.957,52.45,87,75,11.5
170,Lerwick,GB,2021-08-05 01:25:03,60.1545,-1.1494,59.0,87,100,10.92
171,Coruripe,BR,2021-08-05 01:25:03,-10.1256,-36.1756,70.95,86,35,9.62
172,Ouegoa,NC,2021-08-05 01:25:03,-20.35,164.4333,72.41,65,99,2.06
173,Pacifica,US,2021-08-05 01:21:06,37.6138,-122.4869,82.38,84,75,3.0
174,Bilma,NE,2021-08-05 01:25:04,18.6853,12.9164,92.41,31,2,5.68
175,Baculin,PH,2021-08-05 01:25:04,7.4525,126.5842,86.25,69,96,8.25
176,Skagen,DK,2021-08-05 01:25:04,57.7209,10.5839,60.51,72,7,7.67
177,Riberalta,BO,2021-08-05 01:25:04,-10.9833,-66.1,74.55,43,6,2.35
178,Torbay,CA,2021-08-05 01:25:05,47.6666,-52.7314,64.67,73,40,17.27
179,Codrington,AU,2021-08-05 01:25:05,-38.2667,141.9667,54.52,84,100,13.22
180,Nishihara,JP,2021-08-05 01:25:05,26.1842,127.7558,80.26,97,75,12.66
181,Sarab,IR,2021-08-05 01:25:06,38.6066,44.9883,72.72,43,20,2.3
182,Kismayo,SO,2021-08-05 01:25:06,-0.3582,42.5454,75.54,77,30,15.37
183,Wanning,CN,2021-08-05 01:25:06,18.8003,110.3967,83.62,75,100,6.82
184,Carnarvon,AU,2021-08-05 01:25:07,-24.8667,113.6333,60.87,36,0,14.97
185,Svetlogorsk,BY,2021-08-05 01:25:07,52.6333,29.7333,59.43,96,97,6.69
186,Tabou,CI,2021-08-05 01:25:07,4.423,-7.3528,75.38,87,100,10.07
187,Vanderhoof,CA,2021-08-05 01:25:07,54.0166,-124.0198,85.57,29,74,3.69
188,Touros,BR,2021-08-05 01:24:08,-5.1989,-35.4608,74.3,83,73,14.16
189,Yellowknife,CA,2021-08-05 01:23:12,62.456,-114.3525,56.32,58,90,4.0
190,Taber,CA,2021-08-05 01:23:09,49.8167,-112.1518,80.42,51,100,13.8
191,Lamu,KE,2021-08-05 01:25:08,-2.2717,40.902,73.62,81,5,13.27
192,Elizabeth City,US,2021-08-05 01:25:08,36.2946,-76.2511,73.02,92,100,8.28
193,Mananjary,MG,2021-08-05 01:25:09,-21.2167,48.3333,66.18,80,98,5.06
194,Port Lincoln,AU,2021-08-05 01:23:52,-34.7333,135.8667,58.64,70,68,13.38
195,Akyab,MM,2021-08-05 01:24:12,20.15,92.9,77.34,96,100,13.27
196,Malinao,PH,2021-08-05 01:25:09,7.5917,124.6889,77.14,70,96,2.44
197,Ola,RU,2021-08-05 01:25:10,59.5833,151.2833,56.61,45,76,4.97
