City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Prince Rupert,CA,54.3161,-130.3201,60.89,77,90,8.05,overcast clouds
127,Pecos,US,31.4229,-103.4932,88.63,40,40,4.61,scattered clouds
128,Provideniya,RU,64.3833,-173.3,50.11,71,0,4.47,clear sky
129,Lagunas,PE,-5.2269,-75.6753,94.03,25,5,3.42,clear sky
130,Mouila,GA,-1.8685,11.0559,76.98,78,100,4.61,light rain
131,Vao,NC,-22.6667,167.4833,67.19,59,76,18.7,broken clouds
132,Lorengau,PG,-2.0226,147.2712,80.01,82,100,7.02,overcast clouds
133,Adrar,MR,20.5022,-10.0711,98.62,13,5,13.8,clear sky
134,Klaksvik,FO,62.2266,-6.589,54.52,95,100,7.49,overcast clouds
135,Hithadhoo,MV,-0.6,73.0833,80.65,78,99,6.98,overcast clouds
136,Inhambane,MZ,-23.865,35.3833,64.38,94,20,8.1,few clouds
137,Zimmi,SL,7.3153,-11.3061,72.18,95,100,3.09,overcast clouds
138,Zhezkazgan,KZ,47.8043,67.7144,78.91,30,76,9.35,broken clouds
139,Alasehir,TR,38.3508,28.5172,84.76,25,0,3.67,clear sky
140,Behshahr,IR,36.6923,53.5526,78.75,49,88,3.22,overcast clouds
141,Fryanovo,RU,56.1333,38.45,63.84,93,93,4.65,light rain
142,Yamada,JP,39.4667,141.95,75.78,91,4,3.83,clear sky
143,Alice Springs,AU,-23.7,133.8833,36.95,75,0,1.14,clear sky
144,Madison,US,34.7334,-86.5667,87.94,62,1,1.99,clear sky
145,Avera,US,33.194,-82.5271,88.72,36,5,7.25,clear sky
146,Monywa,MM,22.1167,95.1333,78.24,88,100,7.36,overcast clouds
147,Mastic Beach,US,40.7668,-72.8521,80.02,81,90,1.99,overcast clouds
148,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,76,0,8.12,clear sky
149,Sarakhs,IR,36.5449,61.1577,87.94,20,0,4.61,clear sky
150,Esmeraldas,BR,-19.7625,-44.3139,74.26,41,100,12.06,overcast clouds
151,Bengkulu,ID,-3.8004,102.2655,75.27,90,96,3.67,overcast clouds
152,Usinsk,RU,65.9939,57.5281,54.28,94,100,17.13,overcast clouds
153,Broome,US,42.2506,-75.833,82.69,55,20,0.0,few clouds
154,Newport,GB,51.5877,-2.9984,64.02,91,61,9.89,broken clouds
155,Taltal,CL,-25.4,-70.4833,64.44,59,3,6.17,clear sky
156,Kondinskoye,RU,59.6481,67.41,61.43,93,99,8.81,overcast clouds
157,Narsaq,GL,60.9167,-46.05,53.82,85,100,6.04,light rain
158,Goderich,CA,43.7501,-81.7165,85.03,50,0,9.22,clear sky
159,Znamenskoye,RU,57.1281,73.8282,58.95,88,88,1.9,overcast clouds
160,Saint-Augustin,CA,51.226,-58.6502,69.73,66,100,21.72,overcast clouds
161,Severo-Kurilsk,RU,50.6789,156.125,53.6,83,26,19.28,scattered clouds
162,Moose Factory,CA,51.2585,-80.6094,53.58,87,75,9.22,broken clouds
163,Vila Velha,BR,-20.3297,-40.2925,74.97,69,75,8.05,broken clouds
164,Chulman,RU,56.8479,124.9104,55.29,98,100,0.76,overcast clouds
165,Port Elizabeth,ZA,-33.918,25.5701,61.09,82,40,14.97,light rain
166,Paamiut,GL,61.994,-49.6678,44.82,95,100,32.01,moderate rain
167,Yurimaguas,PE,-5.9,-76.0833,93.36,23,20,8.05,few clouds
168,Bushenyi,UG,-0.5853,30.2114,67.91,62,94,2.1,light rain
169,Zhanaozen,KZ,43.3,52.8,91.74,21,100,15.46,overcast clouds
170,Gunjur,GM,13.2019,-16.7339,82.47,83,75,10.36,broken clouds
171,Ravar,IR,31.2656,56.8055,84.61,15,2,5.41,clear sky
